metric,count,null_count,mean,median,std,min,max,p5,p10,p25,p50,p75,p90,p95,p99
hill_slope_mean,621638,9744427,2.805759880031889,2.2771492898464203,2.6481745837039945,0.0011508899042382836,79.27009105682373,0.626649796962738,0.8941683948040009,1.4757026433944702,2.2771492898464203,3.311861991882324,4.757983732223514,6.363264572620393,13.735827753543855
hill_slope_max,621638,9744427,3.025146395615694,2.3765889406204224,3.1833377041621476,0.0011508899042382836,98.4825439453125,0.6469182580709458,0.927090972661972,1.538063645362854,2.3765889406204224,3.459421217441559,5.054847192764286,7.085604262352,17.001924171447754
hill_relief_1km,647322,9718743,3.3853762436971475e+38,3.4028234663852886e+38,2.430339574069154e+37,20.524658203125,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38,3.4028234663852886e+38
hill_signal_raw,286893,10079172,1.6919111124156487e+37,1.7014117331926443e+37,1.2678431250046633e+36,1.571218693256378,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37
hill_signal_smoothed,286893,10079172,1.6919748297339018e+37,1.7014117331926443e+37,1.233821048656683e+36,2.501370723247528,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37,1.7014117331926443e+37
