metric,bin_start,bin_end,count
hill_slope_mean,0.0011508899042382836,2.643448895468221,375206
hill_slope_mean,2.643448895468221,5.285746901032204,198836
hill_slope_mean,5.285746901032204,7.928044906596186,28041
hill_slope_mean,7.928044906596186,10.57034291216017,8759
hill_slope_mean,10.57034291216017,13.212640917724153,4023
hill_slope_mean,13.212640917724153,15.854938923288135,2243
hill_slope_mean,15.854938923288135,18.497236928852118,1436
hill_slope_mean,18.497236928852118,21.1395349344161,888
hill_slope_mean,21.1395349344161,23.781832939980085,636
hill_slope_mean,23.781832939980085,26.424130945544068,455
hill_slope_mean,26.424130945544068,29.06642895110805,344
hill_slope_mean,29.06642895110805,31.70872695667203,248
hill_slope_mean,31.70872695667203,34.35102496223602,160
hill_slope_mean,34.35102496223602,36.9933229678,113
hill_slope_mean,36.9933229678,39.635620973363984,69
hill_slope_mean,39.635620973363984,42.277918978927964,58
hill_slope_mean,42.277918978927964,44.920216984491944,44
hill_slope_mean,44.920216984491944,47.56251499005593,25
hill_slope_mean,47.56251499005593,50.20481299561991,17
hill_slope_mean,50.20481299561991,52.8471110011839,10
hill_slope_mean,52.8471110011839,55.48940900674788,7
hill_slope_mean,55.48940900674788,58.131707012311864,8
hill_slope_mean,58.131707012311864,60.774005017875844,3
hill_slope_mean,60.774005017875844,63.41630302343982,2
hill_slope_mean,63.41630302343982,66.05860102900381,3
hill_slope_mean,66.05860102900381,68.7008990345678,2
hill_slope_mean,68.7008990345678,71.34319704013177,0
hill_slope_mean,71.34319704013177,73.98549504569576,0
hill_slope_mean,73.98549504569576,76.62779305125974,1
hill_slope_mean,76.62779305125974,79.27009105682373,1
hill_slope_max,0.0011508899042382836,3.2838639917511805,447040
hill_slope_max,3.2838639917511805,6.566577093598123,138960
hill_slope_max,6.566577093598123,9.849290195445064,18360
hill_slope_max,9.849290195445064,13.132003297292007,7107
hill_slope_max,13.132003297292007,16.41471639913895,3481
hill_slope_max,16.41471639913895,19.69742950098589,2179
hill_slope_max,19.69742950098589,22.980142602832835,1410
hill_slope_max,22.980142602832835,26.262855704679776,945
hill_slope_max,26.262855704679776,29.545568806526717,695
hill_slope_max,29.545568806526717,32.82828190837366,453
hill_slope_max,32.82828190837366,36.110995010220606,316
hill_slope_max,36.110995010220606,39.39370811206754,198
hill_slope_max,39.39370811206754,42.67642121391449,158
hill_slope_max,42.67642121391449,45.95913431576143,119
hill_slope_max,45.95913431576143,49.24184741760837,79
hill_slope_max,49.24184741760837,52.524560519455314,54
hill_slope_max,52.524560519455314,55.80727362130226,36
hill_slope_max,55.80727362130226,59.089986723149195,23
hill_slope_max,59.089986723149195,62.37269982499614,4
hill_slope_max,62.37269982499614,65.65541292684308,13
hill_slope_max,65.65541292684308,68.93812602869002,3
hill_slope_max,68.93812602869002,72.22083913053697,3
hill_slope_max,72.22083913053697,75.50355223238391,0
hill_slope_max,75.50355223238391,78.78626533423085,0
hill_slope_max,78.78626533423085,82.0689784360778,0
hill_slope_max,82.0689784360778,85.35169153792474,0
hill_slope_max,85.35169153792474,88.63440463977167,1
hill_slope_max,88.63440463977167,91.91711774161863,0
hill_slope_max,91.91711774161863,95.19983084346556,0
hill_slope_max,95.19983084346556,98.4825439453125,1
hill_relief_1km,20.524658203125,1.1342744887950962e+37,3319
hill_relief_1km,1.1342744887950962e+37,2.2685489775901924e+37,0
hill_relief_1km,2.2685489775901924e+37,3.4028234663852886e+37,0
hill_relief_1km,3.4028234663852886e+37,4.537097955180385e+37,0
hill_relief_1km,4.537097955180385e+37,5.671372443975481e+37,0
hill_relief_1km,5.671372443975481e+37,6.805646932770577e+37,0
hill_relief_1km,6.805646932770577e+37,7.939921421565673e+37,0
hill_relief_1km,7.939921421565673e+37,9.07419591036077e+37,0
hill_relief_1km,9.07419591036077e+37,1.0208470399155866e+38,0
hill_relief_1km,1.0208470399155866e+38,1.1342744887950962e+38,0
hill_relief_1km,1.1342744887950962e+38,1.2477019376746058e+38,0
hill_relief_1km,1.2477019376746058e+38,1.3611293865541154e+38,0
hill_relief_1km,1.3611293865541154e+38,1.474556835433625e+38,0
hill_relief_1km,1.474556835433625e+38,1.5879842843131347e+38,0
hill_relief_1km,1.5879842843131347e+38,1.7014117331926443e+38,0
hill_relief_1km,1.7014117331926443e+38,1.814839182072154e+38,0
hill_relief_1km,1.814839182072154e+38,1.9282666309516635e+38,0
hill_relief_1km,1.9282666309516635e+38,2.041694079831173e+38,0
hill_relief_1km,2.041694079831173e+38,2.1551215287106828e+38,0
hill_relief_1km,2.1551215287106828e+38,2.2685489775901924e+38,0
hill_relief_1km,2.2685489775901924e+38,2.381976426469702e+38,0
hill_relief_1km,2.381976426469702e+38,2.4954038753492116e+38,0
hill_relief_1km,2.4954038753492116e+38,2.6088313242287213e+38,0
hill_relief_1km,2.6088313242287213e+38,2.722258773108231e+38,0
hill_relief_1km,2.722258773108231e+38,2.8356862219877405e+38,0
hill_relief_1km,2.8356862219877405e+38,2.94911367086725e+38,0
hill_relief_1km,2.94911367086725e+38,3.0625411197467597e+38,0
hill_relief_1km,3.0625411197467597e+38,3.1759685686262694e+38,0
hill_relief_1km,3.1759685686262694e+38,3.289396017505779e+38,0
hill_relief_1km,3.289396017505779e+38,3.4028234663852886e+38,644003
hill_signal_raw,1.571218693256378,5.671372443975481e+35,1602
hill_signal_raw,5.671372443975481e+35,1.1342744887950963e+36,0
hill_signal_raw,1.1342744887950963e+36,1.7014117331926445e+36,0
hill_signal_raw,1.7014117331926445e+36,2.2685489775901925e+36,0
hill_signal_raw,2.2685489775901925e+36,2.8356862219877405e+36,0
hill_signal_raw,2.8356862219877405e+36,3.402823466385289e+36,0
hill_signal_raw,3.402823466385289e+36,3.969960710782837e+36,0
hill_signal_raw,3.969960710782837e+36,4.537097955180385e+36,0
hill_signal_raw,4.537097955180385e+36,5.104235199577933e+36,0
hill_signal_raw,5.104235199577933e+36,5.671372443975481e+36,0
hill_signal_raw,5.671372443975481e+36,6.23850968837303e+36,0
hill_signal_raw,6.23850968837303e+36,6.805646932770578e+36,0
hill_signal_raw,6.805646932770578e+36,7.372784177168126e+36,0
hill_signal_raw,7.372784177168126e+36,7.939921421565674e+36,0
hill_signal_raw,7.939921421565674e+36,8.507058665963221e+36,0
hill_signal_raw,8.507058665963221e+36,9.07419591036077e+36,0
hill_signal_raw,9.07419591036077e+36,9.641333154758319e+36,0
hill_signal_raw,9.641333154758319e+36,1.0208470399155866e+37,0
hill_signal_raw,1.0208470399155866e+37,1.0775607643553413e+37,0
hill_signal_raw,1.0775607643553413e+37,1.1342744887950962e+37,0
hill_signal_raw,1.1342744887950962e+37,1.190988213234851e+37,0
hill_signal_raw,1.190988213234851e+37,1.247701937674606e+37,0
hill_signal_raw,1.247701937674606e+37,1.3044156621143608e+37,0
hill_signal_raw,1.3044156621143608e+37,1.3611293865541156e+37,0
hill_signal_raw,1.3611293865541156e+37,1.4178431109938702e+37,0
hill_signal_raw,1.4178431109938702e+37,1.474556835433625e+37,0
hill_signal_raw,1.474556835433625e+37,1.53127055987338e+37,0
hill_signal_raw,1.53127055987338e+37,1.5879842843131348e+37,0
hill_signal_raw,1.5879842843131348e+37,1.6446980087528897e+37,0
hill_signal_raw,1.6446980087528897e+37,1.7014117331926443e+37,285291
hill_signal_smoothed,2.501370723247528,5.671372443975481e+35,1358
hill_signal_smoothed,5.671372443975481e+35,1.1342744887950963e+36,4
hill_signal_smoothed,1.1342744887950963e+36,1.7014117331926445e+36,23
hill_signal_smoothed,1.7014117331926445e+36,2.2685489775901925e+36,26
hill_signal_smoothed,2.2685489775901925e+36,2.8356862219877405e+36,15
hill_signal_smoothed,2.8356862219877405e+36,3.402823466385289e+36,53
hill_signal_smoothed,3.402823466385289e+36,3.969960710782837e+36,1
hill_signal_smoothed,3.969960710782837e+36,4.537097955180385e+36,32
hill_signal_smoothed,4.537097955180385e+36,5.104235199577933e+36,13
hill_signal_smoothed,5.104235199577933e+36,5.671372443975481e+36,3
hill_signal_smoothed,5.671372443975481e+36,6.23850968837303e+36,33
hill_signal_smoothed,6.23850968837303e+36,6.805646932770578e+36,17
hill_signal_smoothed,6.805646932770578e+36,7.372784177168126e+36,6
hill_signal_smoothed,7.372784177168126e+36,7.939921421565674e+36,3
hill_signal_smoothed,7.939921421565674e+36,8.507058665963221e+36,0
hill_signal_smoothed,8.507058665963221e+36,9.07419591036077e+36,29
hill_signal_smoothed,9.07419591036077e+36,9.641333154758319e+36,7
hill_signal_smoothed,9.641333154758319e+36,1.0208470399155866e+37,4
hill_signal_smoothed,1.0208470399155866e+37,1.0775607643553413e+37,17
hill_signal_smoothed,1.0775607643553413e+37,1.1342744887950962e+37,2
hill_signal_smoothed,1.1342744887950962e+37,1.190988213234851e+37,30
hill_signal_smoothed,1.190988213234851e+37,1.247701937674606e+37,5
hill_signal_smoothed,1.247701937674606e+37,1.3044156621143608e+37,25
hill_signal_smoothed,1.3044156621143608e+37,1.3611293865541156e+37,20
hill_signal_smoothed,1.3611293865541156e+37,1.4178431109938702e+37,1
hill_signal_smoothed,1.4178431109938702e+37,1.474556835433625e+37,28
hill_signal_smoothed,1.474556835433625e+37,1.53127055987338e+37,11
hill_signal_smoothed,1.53127055987338e+37,1.5879842843131348e+37,13
hill_signal_smoothed,1.5879842843131348e+37,1.6446980087528897e+37,3
hill_signal_smoothed,1.6446980087528897e+37,1.7014117331926443e+37,285111
