road_type_i1,count,score_urban_gate,score_cruise_road,score_offroad,score_calm_road,score_flow,score_remoteness,score_twist,score_scenic,persona_milemuncher_score,persona_cornercraver_score,persona_trailblazer_score,persona_tranquiltraveller_score
Res,405447,0.6797164610910921,0.16000858311937194,0.7646931904786569,0.28678480787871163,0.9606944061739265,0.7796017153906676,0.11898686116804418,0.6779495963714123,0.08856607768709597,0.10094548116029962,0.35417142043226363,0.1667705446087898
WoH,179395,0.7980768694779676,0.20037292009253324,0.5836791437888458,0.4878450346999638,0.9635190947350818,0.849152279049026,0.3513594526045876,0.7290095041667828,0.1183567602218568,0.313816500459879,0.3283871874912902,0.332036789765601
Track,27338,0.9681030068037164,0.2,0.5909444728948716,0.492453727412393,0.9939351305874606,0.9507747457751116,0.5504647487014412,0.7816431340990563,0.13692257297534569,0.5159695808032775,0.4069934559953179,0.40502596751774084
NH,11588,0.8331032102174664,0.9324301001035554,0.12962720055229549,0.27138246461857096,0.8809790990680013,0.8621896789782534,0.05132902140144978,0.70320935450466,0.6128292112530204,0.036861857093545045,0.07810144114601311,0.19782078874697961
MDR,11053,0.6623541120057903,0.737408848276486,0.28028951415905184,0.9724852981091106,0.8049867547272234,0.7588251334479327,0.2273304442232878,0.7203465122591152,0.33928432099882383,0.1885362435537863,0.13874531801320908,0.5532829096172984
SH,8427,0.6418654325382699,0.7609255962976148,0.256564613741545,0.7538682805268779,0.7712460306158775,0.7317696689213242,0.11769743681025277,0.6979945413551679,0.3377737510383292,0.09062885961789487,0.12388765871603179,0.41126348641272104
Path,4074,0.6944035346097202,0.2,0.5799116347569956,0.48325969563082966,0.9556957290132547,0.7918601129111439,0.3719652920962199,0.732454590083456,0.10140849288168875,0.29827020127638687,0.28174783996072655,0.2836492881688758
